time,smile,disgust,joy,msmile,mdisgust,mjoy,pitch,yaw,roll
131.2679939,99.99,0.02,99.93,99.85,0,99.93,-20.28,8.56,-1.03
131.501796,99.98,0.01,99.93,99.72,0,99.93,-19.45,8.71,-0.29
131.7344308,99.97,0.01,99.92,99.9,0,99.93,-18.07,7.12,-0.02
131.9680581,99.76,0.01,99.89,26.77,0.08,0.24,-20.01,11.62,3.93
132.1999989,97.14,0,99.4,55.97,0.01,32.43,-19.82,10.6,4.81
132.4336059,85.62,0,95.65,9.92,0.21,0.01,-19.66,9.79,5.2
132.6679301,51.08,0.02,7.26,12.39,0.17,0.02,-20.39,9.25,5.17
132.9016829,27.79,0.05,0.17,52.63,0.01,20.76,-19.61,6.15,5.08
133.1339998,44.07,0.01,2.49,64.55,0,69.56,-18.99,6.02,4.92
133.3672981,61.07,0.01,29.87,0.95,0.37,0,-18.31,6.54,5.74
133.6015201,67.96,0.01,56.18,30.41,0.05,0.46,-18.61,5.33,5.42
133.8296061,75.26,0,80.54,12.42,0.17,0.02,-17.51,3.65,4.15
134.0701208,77.37,0,85.39,10.77,0.2,0.01,-17.48,3.8,3.73
134.2994728,71.76,0,69.94,0.59,0.4,0,-18.7,5.41,3.77
134.534776,24.1,0.09,0.09,0,0.43,0,-16.98,5.51,6.52
134.7660229,1.96,0.38,0,0,0.43,0,-18.89,4.95,7.48
134.9999781,0.36,0.42,0,0.02,0.43,0,-17.62,4.61,7.89
135.230257,0.09,0.43,0,0.03,0.42,0,-18.1,4.55,7.04
135.4640789,0.04,0.41,0,0.03,0.36,0,-17.25,4.96,6.85
135.701314,0.21,0.35,0,9.24,0,0.01,-16.86,4.18,5.93
135.9334831,1.28,0.19,0,0.97,0.01,0,-18.11,3.41,4.74
136.169199,2.86,0.16,0,2.65,0.07,0,-19.45,2.95,4.84
136.399436,4.53,0.25,0,0.01,0.17,0,-18.73,1.63,4.55
136.6321201,6.68,0.25,0.01,0.65,0.37,0,-18.65,1.28,4.74
136.8664169,5.4,0.29,0,3.01,0.34,0,-19.15,0.3,4.38
137.1028249,6.62,0.27,0.01,0.1,0.42,0,-18.68,1.02,5.2
137.3326809,8.47,0.24,0.01,2.74,0.35,0,-18.97,0.67,4.56
137.566273,5.33,0.3,0,0.57,0.41,0,-18.09,-0.15,4.62
137.8009639,6.04,0.28,0,0.26,0.42,0,-17.94,-1.07,4.3
138.034718,5.93,0.29,0,6.26,0.27,0.01,-18.8,-0.89,4.43
138.2668629,6.1,0.28,0,1.26,0.39,0,-18.24,-1.46,4.74
138.500947,3.32,0.34,0,0.92,0.4,0,-15.81,-1.53,4.98
