smile,disgust,joy,msmile,mdisgust,mjoy,pitch,yaw,roll
100,0.02,99.93,100,0,99.93,-18.3,0.64,-9.16
100,0.04,99.93,100,0.01,99.93,-18.69,1.17,-9.35
100,0.04,99.93,100,0.01,99.93,-18.94,1.35,-8.75
100,0.02,99.93,100,0,99.93,-20.05,1.03,-10.9
100,0.01,99.93,100,0.01,99.93,-19.22,1.96,-10.57
100,0.01,99.93,100,0,99.93,-19.62,2.31,-10.91
100,0.01,99.93,100,0,99.93,-20.53,1.86,-10.86
100,0.01,99.93,99.98,0,99.93,-19.24,2.61,-11.67
100,0.01,99.93,99.92,0,99.93,-20.37,1.92,-12.71
99.99,0,99.93,99.83,0,99.93,-19.72,0.57,-12.59
99.98,0,99.93,99.51,0,99.92,-18.4,1.65,-13.71
99.95,0,99.93,94.56,0,99.81,-16.05,1.08,-12.96
99.9,0,99.93,99.6,0,99.93,-15.33,1.24,-13.38
99.87,0,99.93,99.91,0,99.93,-16.06,1.49,-12.75
99.81,0,99.93,99.95,0,99.93,-16.74,0.37,-11.77
99.86,0,99.93,99.96,0,99.93,-17.21,1.2,-11.36
99.91,0,99.93,99.98,0,99.93,-16.55,0.76,-11.3
99.96,0,99.93,99.99,0,99.93,-17.15,0.57,-11.89
99.97,0,99.93,99.99,0,99.93,-17.43,0.83,-11.82
99.97,0,99.93,99.97,0,99.93,-16.49,1.81,-12.8
99.98,0,99.93,99.99,0,99.93,-16.47,2.21,-12.13
99.97,0,99.93,99.89,0,99.93,-16.05,2.9,-11.96
99.92,0,99.93,99.46,0,99.92,-15.86,2.7,-11.27
99.79,0,99.92,98.21,0,99.9,-16.36,1.28,-10.41
99.51,0,99.86,99.61,0,99.93,-15.08,2.22,-10.73
99.22,0,99.88,99.88,0,99.93,-15.16,2.16,-11.09
99.45,0,99.91,99.98,0,99.93,-15.75,2.2,-10.65
99.66,0,99.92,99.99,0,99.93,-15.47,1.73,-10.3
99.15,0,99.84,98.27,0,99.9,-15.84,1.57,-10.74
97.38,0,99.38,96.51,0,99.87,-15.5,2,-10.17
92.99,0,98.67,99.06,0,99.92,-14.74,0.43,-10.26
78.61,0,87.6,99.24,0,99.92,-14.91,0.58,-9.77
55.28,0,13.44,97.33,0,99.89,-15.29,1,-9.99
66.09,0,47.75,96.58,0,99.87,-15.62,0.14,-10.13
78.04,0,86.63,95.82,0,99.85,-15.91,-0.34,-9.85
73.17,0,74.5,93.04,0,99.75,-14.5,-0.24,-8.7
71.34,0,68.34,99.22,0,99.92,-8.42,1.49,-9.55
82.11,0,92.78,99.99,0,99.93,-11.56,2.62,-10.3
92.9,0,99.06,100,0,99.93,-11.32,4.32,-9.17
98.43,0,99.88,100,0.01,99.93,-10.43,3.83,-6.58
99.79,0,99.92,100,0,99.93,-9.54,3.21,-9.18
99.96,0,99.93,100,0,99.93,-10.46,1.22,-8.31
99.99,0,99.93,100,0,99.93,-13.51,3.25,-7.91
99.99,0,99.93,100,0,99.93,-15.06,3.46,-6.98
100,0,99.93,100,0,99.93,-16.53,2.37,-7.63
100,0,99.93,100,0,99.93,-15.46,2.19,-7.34
100,0,99.93,100,0,99.93,-16.53,1.87,-6.8
100,0,99.93,100,0.01,99.93,-13.86,2.61,-6.53
100,0,99.93,100,0,99.93,-10.99,2.41,-5.46
100,0,99.93,99.89,0,99.93,-6.15,0.79,-6.6
100,0,99.93,100,0,99.93,-5.17,0.82,-6.16
100,0,99.93,100,0,99.93,-7.17,0.19,-6.28
100,0,99.93,99.88,0,99.93,-9.13,0.62,-4.49
100,0,99.93,99.91,0.01,99.93,-10.94,2.04,-5.38
100,0,99.93,97.16,0.01,99.88,-13.02,1.22,-6.35
100,0,99.93,99.37,0,99.92,-12.91,3.3,-5.22
100,0,99.93,99.92,0,99.93,-14.94,0.99,-5.17
100,0,99.93,100,0,99.93,-16.96,1.06,-7.23
100,0,99.93,100,0,99.93,-21.99,0.96,-9.88
100,0,99.93,100,0,99.93,-23.35,1.07,-6.86
100,0,99.93,100,0,99.93,-21.87,4.38,-9.64
100,0,99.93,100,0,99.93,-22.5,4.06,-9.05
100,0,99.93,100,0,99.93,-21.56,4.01,-6.87
99.99,0,99.93,99.99,0,99.93,-16.73,4.95,-8.34
99.96,0,99.82,98.71,0,99.91,-13.36,3.1,-10.57
99.77,0,99.57,99.39,0,99.92,-14.89,3.35,-10
98.83,0,99.49,99.52,0,99.92,-14.6,1.24,-9.35
97.15,0,99.32,99.84,0,99.93,-15.09,1.85,-8.05
93.39,0,98.76,99.15,0,99.92,-16.71,0.68,-7.75
95.17,0,99.08,99.3,0,99.92,-16.45,1.4,-6.83
98.14,0,99.64,99.99,0,99.93,-17.1,2.16,-7.6
99.32,0,99.9,99.96,0,99.93,-16.88,2.17,-7.99
99.8,0,99.93,100,0,99.93,-18.5,1.84,-8.05
99.95,0,99.93,100,0.01,99.93,-16.79,3.1,-7.91
99.97,0,99.93,100,0,99.93,-17.02,2.08,-7.17
99.98,0,99.93,100,0.01,99.93,-17.06,2.35,-7.92
99.99,0,99.93,100,0,99.93,-17.56,1.97,-7.92
99.98,0,99.93,99.98,0,99.93,-16.2,1.72,-8.34
99.96,0,99.93,99.98,0,99.93,-16.96,2.38,-6.72
99.95,0,99.93,99.99,0,99.93,-16.61,2.47,-7.87
99.93,0,99.93,100,0,99.93,-16.03,2.43,-8.25
99.93,0,99.93,99.98,0.01,99.93,-16.38,2.24,-7.05
99.95,0,99.93,99.93,0,99.93,-16.8,2.24,-6.86
99.95,0,99.93,99.99,0,99.93,-17.33,2.28,-7.85
99.95,0,99.93,99.97,0,99.93,-16.51,2.14,-7.77
99.94,0,99.93,100,0,99.93,-16.62,1.17,-8.97
99.95,0,99.93,99.99,0.01,99.93,-17.23,2.54,-6.41
